id,author,quotestext
160,Michael Jordan,"If you accept the expectations of others, especially negative ones, then you never will change the outcome."
161,Billy Wilder,"Trust your own instinct. Your mistakes might as well be your own, instead of someone elses."
162,Lululemon,Your outlook on life is a direct reflection on how much you like yourself.
163,Lily Tomlin,"I always wanted to be somebody, but I should have been more specific."
164,Buddha,"Three things cannot be long hidden: the sun, the moon, and the truth."
165,Christopher Reeve,"Once you choose hope, anythings possible."
166,Lao Tzu,"To see things in the seed, that is genius."
167,unknown,Everyone smiles in the same language.
168,Lao Tzu,"One who is too insistent on his own views, finds few to agree with him."
169,William Shakespeare,"Go to your bosom: Knock there, and ask your heart what it doth know."
170,William R. Inge,Nature takes away any faculty that is not used.
172,Confucius,I am not bothered by the fact that I am unknown. I am bothered when I do not know others.
173,Alfred Tennyson,The happiness of a man in this life does not consist in the absence but in the mastery of his passions.
174,Confucius,"The Superior Man is aware of Righteousness, the inferior man is aware of advantage."
175,Thich Nhat Hanh,The amount of happiness that you have depends on the amount of freedom you have in your heart.
176,Moncure Conway,The best thing in every noble dream is the dreamer...
177,Albert Einstein,"If A is success in life, then A equals x plus y plus z. Work is x; y is play; and z is keeping your mouth shut."
178,Franklin D. Roosevelt,"It is common sense to take a method and try it. If it fails, admit it frankly and try another. But above all, try something."
179,Elbert Hubbard,"A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success."
180,Napoleon Hill,The ladder of success is never crowded at the top.
182,unknown,What you see depends on what you're looking for.
183,Elisabeth Kubler-Ross,"I believe that we are solely responsible for our choices, and we have to accept the consequences of every deed, word, and thought throughout our lifetime."
184,James Lowell,A weed is no more than a flower in disguise.
185,John Simone,"If you're in a bad situation, don't worry it'll change. If you're in a good situation, don't worry it'll change."
186,Marcus Aurelius,Everything that exists is in a manner the seed of that which will be.
187,Pearl Buck,"You cannot make yourself feel something you do not feel, but you can make yourself do right in spite of your feelings."
188,Daisaku Ikeda,"What matters is the value we've created in our lives, the people we've made happy and how much we've grown as people."
189,unknown,"Love is not blind; it simply enables one to see things others fail to see."
190,Confucius,Fine words and an insinuating appearance are seldom associated with true virtue
191,Ralph Emerson,"Truth, and goodness, and beauty are but different faces of the same all."
192,Robert Heller,"Never ignore a gut feeling, but never believe that it's enough."
193,Anthony Robbins,"The path to success is to take massive, determined action."
194,Robert Fulghum,"If you break your neck, if you have nothing to eat, if your house is on fire, then you got a problem. Everything else is inconvenience."
195,Buddha,"In separateness lies the world's great misery, in compassion lies the world's true strength."
197,Buddha,You only lose what you cling to.
198,unknown,An obstacle may be either a stepping stone or a stumbling block.
199,Danilo Dolci,"It's important to know that words don't move mountains. Work, exacting work moves mountains."
200,Pierre Abelard,"The beginning of wisdom is found in doubting; by doubting we come to the question, and by seeking we may come upon the truth."
201,Benjamin Franklin,"Experience keeps a dear school, but fools will learn in no other."
202,Stephen Sigmund,Learn wisdom from the ways of a seedling. A seedling which is never hardened off through stressful situations will never become a strong productive plant.
203,African proverb,"When there is no enemy within, the enemies outside cannot hurt you."
204,Marian Edelman,You really can change the world if you care enough.
205,Edmond Rostand,A man is not old as long as he is seeking something.
206,Anais Nin,The possession of knowledge does not kill the sense of wonder and mystery. There is always more mystery.
208,Helen Keller,We could never learn to be brave and patient if there were only joy in the world.
209,Bishop Desmond Tutu,We must not allow ourselves to become like the system we oppose.
211,Cullen Hightower,"When performance exceeds ambition, the overlap is called success."
212,Coco Chanel,There are people who have money and people who are rich.
213,Epictetus,Nature gave us one tongue and two ears so we could hear twice as much as we speak.
214,Honore de Balzac,"The smallest flower is a thought, a life answering to some feature of the Great Whole, of whom they have a persistent intuition."
216,Carl Jung,"Through pride we are ever deceiving ourselves. But deep down below the surface of the average conscience a still, small voice says to us, Something is out of tune."
217,Wayne Dyer,"There is no scarcity of opportunity to make a living at what you love; theres only scarcity of resolve to make it happen."
219,Napoleon Hill,When your desires are strong enough you will appear to possess superhuman powers to achieve.
220,Richard Bach,"Sooner or later, those who win are those who think they can."
222,Betty Friedan,It is easier to live through someone else than to become complete yourself.
224,Ned Stark,I grew up with soldiers. I learned how to die a long time ago.
225,Ralph Emerson,It is one of the blessings of old friends that you can afford to be stupid with them.
226,Albert Schweitzer,"Do something wonderful, people may imitate it."
228,Marcus Aurelius,"Accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart."
